Country,Product,Year,Month,Quantity,lag_1,lag_2,lag_3,rolling_mean_6,rolling_std_6
Australia,BreathBliss Mints,2021,1,0.0,,,,,
Australia,BreathBliss Mints,2021,2,0.0,0.0,,,0.0,
Australia,BreathBliss Mints,2021,3,0.0,0.0,0.0,,0.0,0.0
Australia,BreathBliss Mints,2021,4,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2021,5,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2021,6,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2021,7,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2021,8,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2021,9,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2021,10,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2021,11,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2021,12,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2022,1,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2022,2,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2022,3,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2022,4,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2022,5,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2022,6,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2022,7,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2022,8,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2022,9,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2022,10,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2022,11,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2022,12,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2023,1,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2023,2,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2023,3,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2023,4,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2023,5,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2023,6,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2023,7,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2023,8,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2023,9,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2023,10,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2023,11,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreathBliss Mints,2023,12,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreatheEasy Inhalant,2021,1,0.0,,,,,
Australia,BreatheEasy Inhalant,2021,2,0.0,0.0,,,0.0,
Australia,BreatheEasy Inhalant,2021,3,0.0,0.0,0.0,,0.0,0.0
Australia,BreatheEasy Inhalant,2021,4,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreatheEasy Inhalant,2021,5,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreatheEasy Inhalant,2021,6,0.0,0.0,0.0,0.0,0.0,0.0
Australia,BreatheEasy Inhalant,2021,7,0.0,0.0,0.0,0.0,0.0,0.0
